.threshold,specificity,sensitivity
0.4425531914893617,0.4707581227436823,0.7664116126602646
0.44680851063829785,0.4756317689530686,0.7639124257518958
0.451063829787234,0.4799638989169675,0.7613961211249765
0.4553191489361702,0.48592057761732854,0.7587771101867543
0.4595744680851064,0.490072202166065,0.7560896283743302
0.46382978723404256,0.49458483754512633,0.7535562060288604
0.46808510638297873,0.5009025270758123,0.7509371950906383
0.4723404255319149,0.5057761732851985,0.7485407144935723
0.4765957446808511,0.51028880866426,0.7461099984594053
0.4808510638297872,0.5146209386281588,0.7433711634913299
0.4851063829787234,0.5223826714801444,0.7405125044934011
0.48936170212765956,0.5281588447653429,0.7379961998664818
0.49361702127659574,0.5332129963898917,0.7355654838323148
0.4978723404255319,0.5388086642599278,0.7329293551755423
0.502127659574468,0.5431407942238267,0.730019343021962
